Size (n) , Time(Nanoseconds)
1000 , 90222.57
2000 , 118671.07
3000 , 170833.0
4000 , 245458.43
5000 , 341196.25
6000 , 488119.68
7000 , 592125.64
8000 , 678369.36
9000 , 791409.43
10000 , 973063.23
11000 , 1152922.48
12000 , 1310068.35
13000 , 1440195.95
14000 , 1710373.6
15000 , 1994546.52
16000 , 2404224.14
17000 , 2405495.82
18000 , 2640864.19
19000 , 2842611.4
20000 , 3152192.68
21000 , 3435375.99
22000 , 3554427.26
23000 , 3959636.86
24000 , 4217511.39
25000 , 4473843.78
26000 , 5003337.61
27000 , 5268541.2
28000 , 5602798.96
29000 , 6059832.22
30000 , 6292153.07
31000 , 6745355.83
32000 , 7155975.56
33000 , 7529658.56
34000 , 7818385.42
35000 , 8376513.19
36000 , 9459497.02
37000 , 9250418.41
38000 , 9494194.12
39000 , 1.000022721E7
40000 , 1.055444949E7
41000 , 1.147548659E7
42000 , 1.207280441E7
43000 , 1.236045227E7
44000 , 1.302665004E7
45000 , 1.33310126E7
46000 , 1.40295998E7
47000 , 1.456697842E7
48000 , 1.511605612E7
49000 , 1.584741893E7
50000 , 1.687280196E7
51000 , 1.742795094E7
52000 , 1.763770975E7
53000 , 1.820758512E7
54000 , 1.876747962E7
55000 , 1.963853405E7
56000 , 2.027972081E7
57000 , 2.082920653E7
58000 , 2.16141711E7
59000 , 2.298935916E7
60000 , 2.299300219E7
61000 , 2.379689636E7
62000 , 2.431767185E7
63000 , 2.486756742E7
64000 , 2.607799558E7
65000 , 2.675292809E7
66000 , 2.772362139E7
67000 , 2.870757738E7
68000 , 2.967638186E7
69000 , 3.054027824E7
70000 , 3.112936836E7
71000 , 3.186073331E7
72000 , 3.224299788E7
73000 , 3.313034589E7
74000 , 3.431374081E7
75000 , 3.496041539E7
76000 , 3.582610754E7
77000 , 3.686656447E7
78000 , 3.752128646E7
79000 , 3.909578362E7
80000 , 4.100842502E7
81000 , 4.12099449E7
82000 , 4.257957938E7
83000 , 4.322052503E7
84000 , 4.409287163E7
85000 , 4.775543456E7
86000 , 4.547189643E7
87000 , 4.731007472E7
88000 , 4.815618899E7
89000 , 4.962867915E7
90000 , 5.03788693E7
91000 , 5.164187858E7
92000 , 5.3047005E7
93000 , 5.416157607E7
94000 , 5.409475176E7
95000 , 5.480581653E7
96000 , 5.610315131E7
97000 , 5.737544257E7
98000 , 5.936125092E7
99000 , 6.087676849E7
100000 , 6.180143526E7
